store_id,name_res,kind_res,address,promotion,star,number_rating,status,open_time,cost_res,store_url,district
1,Hương Tròn - Mì Trộn Indomie & Đồ Ăn Vặt - Bùi Xương Trạch,QUÁN ĂN -Chi nhánh,"81 Ngõ 1 Bùi Xương Trạch, P. Khương Đình, Thanh Xuân, Hà Nội",Giảm món,4.5,999,Mở cửa,00:00 - 23:59,10.000 - 50.000,https://shopeefood.vn/ha-noi/huong-tron-mi-tron-indomie-do-an-vat-bui-xuong-trach,Thanh Xuân
2,Trà Sữa Tocotoco - Nguyễn Hoàng,CAFÉ/DESSERT -Chi nhánh,"107 Nguyễn Hoàng, P. Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Đồng giá 29k,4.5,999,Mở cửa,09:00 - 22:35,25.000 - 60.000,https://shopeefood.vn/ha-noi/tra-sua-tocotoco-nguyen-hoang,Nam Từ Liêm
3,Bún Thủy - Trần Nhật Duật,"Yêu thích
QUÁN ĂN","98 Trần Nhật Duật, Hoàn Kiếm, Hà Nội",Giảm món,4.5,999,Mở cửa,07:00 - 21:30,20.000 - 50.000,https://shopeefood.vn/ha-noi/bun-thuy-tran-nhat-duat,Hoàn Kiếm
4,Luca Food Shop - Mì Trộn Indomie & Đồ Ăn Vặt - Hào Nam,ĂN VẶT/VỈA HÈ,"10 Ngách 20/2 Ngõ 20 Hào Nam, P. Ô Chợ Dừa, Đống Đa, Hà Nội",Giảm hết 5%,5.0,10,Mở cửa,10:30 - 22:30,0 - 0,https://shopeefood.vn/ha-noi/luca-food-shop-mi-tron-indomie-do-an-vat-hao-nam,Đống Đa
5,Long Wang Cơ Sở 1 - Dim Sum Hongkong - 84 Ngọc Khánh,QUÁN ĂN -Chi nhánh,"84 Ngọc Khánh, P. Giảng Võ, Ba Đình, Hà Nội",Giảm món,4.5,50,Mở cửa,10:00 - 22:00,0 - 0,https://shopeefood.vn/ha-noi/long-wang-co-so-1-dim-sum-hongkong-84-ngoc-khanh,Ba Đình
6,Thành Thúy Foods - Ẩm Thực Gà Ngon,QUÁN ĂN,"107B4 Nghĩa Tân, Ngõ 1 Nghĩa Tân, P. Nghĩa Tân, Cầu Giấy, Hà Nội",Giảm món,4.5,100,Mở cửa,08:30 - 13:55 | 15:50 - 20:50,100.000 - 500.000,https://shopeefood.vn/ha-noi/thanh-thuy-foods-am-thuc-ga-ngon,Cầu Giấy
7,Trà Sữa HAPPY - KĐT Đô Nghĩa,"Yêu thích
CAFÉ/DESSERT","U08-L70 KĐT Đô Nghĩa, Yên Lộ, P. Yên Nghĩa, Hà Đông, Hà Nội",Giảm hết 50%,4.5,999,Mở cửa,09:00 - 23:00,30.000 - 50.000,https://shopeefood.vn/ha-noi/tra-sua-happy-kdt-do-nghia,Hà Đông
8,Thúy An - Xoài Cóc Bao Tử & Đồ Ăn Vặt Online - Khương Trung,"Yêu thích
SHOP ONLINE -Chi nhánh","26 Ngách 70 Ngõ 162 Khương Trung (Ngõ 231 Vũ Tông Phan Rẽ Trái Đến Số 70 Vào Ngách Rẽ Phải Nhà Đầu Tiên), P. Khương Trung, Thanh Xuân, Hà Nội",Giảm món,4.5,999,Mở cửa,11:00 - 23:30,10.000 - 160.000,https://shopeefood.vn/ha-noi/thuy-an-xoai-coc-bao-tu-do-an-vat-online,Thanh Xuân
9,Trà Sữa Seko Tea - Mễ Trì Thượng,CAFÉ/DESSERT -Chi nhánh,"37 Mễ Trì Thượng, P. Mễ Trì, Nam Từ Liêm, Hà Nội",Giảm hết 50%,4.5,999,Mở cửa,00:00 - 01:00 | 09:00 - 23:59,20.000 - 40.000,https://shopeefood.vn/ha-noi/seko-tea-tra-sua-dai-loan,Nam Từ Liêm
10,Ngày Xưa Anh Béo - Bánh Giò - Trần Quang Diệu,"NHÀ HÀNG, TIỆM BÁNH","1G Trần Quang Diệu, P. Ô Chợ Dừa, Đống Đa, Hà Nội",Giảm món,4.5,50,Mở cửa,07:00 - 21:00,0 - 0,https://shopeefood.vn/ha-noi/ngay-xua-anh-beo-banh-gio-tran-quang-dieu.mblavj,Đống Đa
