name_res,kind_res,address,promotion,star,number_rating,status,open_time,cost_res,store_url
Trà Sữa Tocotoco - Nguyễn Hoàng,CAFÉ/DESSERT -Chi nhánh,"107 Nguyễn Hoàng, P. Mỹ Đình 2, Nam Từ Liêm, Hà Nội",Đồng giá 29k,4.5,999+,Đóng cửa,,25.000 - 60.000,https://shopeefood.vn/ha-noi/tra-sua-tocotoco-nguyen-hoang
Ích Hòa Đường - Taiwan Tea - Ô Chợ Dừa,CAFÉ/DESSERT -Chi nhánh,"24 Ô Chợ Dừa, P. Ô Chợ Dừa, Đống Đa, Hà Nội",Giảm hết 20%,4.5,999+,Đóng cửa,,30.000 - 100.000,https://shopeefood.vn/ha-noi/ich-hoa-duong-taiwan-tea
Trà Sữa Tiger Sugar By HongKong - Tam Khương,CAFÉ/DESSERT -Chi nhánh,"70 Tam Khương, P. Khương Thượng, Đống Đa, Hà Nội",Giảm hết 45%,4.5,100+,Đóng cửa,,10.000 - 50.000,https://shopeefood.vn/ha-noi/tra-sua-tiger-sugar-by-hongkong-tam-khuong
Trà Sữa HAPPY - KĐT Đô Nghĩa,"Yêu thích
CAFÉ/DESSERT","U08-L70 KĐT Đô Nghĩa, Yên Lộ, P. Yên Nghĩa, Hà Đông, Hà Nội",Giảm hết 50%,4.5,999+,Mở cửa,09:00 - 23:00,30.000 - 50.000,https://shopeefood.vn/ha-noi/tra-sua-happy-kdt-do-nghia
Tiệm Gà Rán Óng Ánh - Chùa Láng,"Yêu thích
QUÁN ĂN -Chi nhánh","Số 3 Ngách 1 Ngõ 121 Chùa Láng, P Láng Thượng, Đống Đa, Hà Nội",Giảm món,4.5,999+,Mở cửa,09:00 - 23:59,35.000 - 200.000,https://shopeefood.vn/ha-noi/tiem-ga-ran-ong-anh-chua-lang
Mokchang - Đồ Ăn Hàn Quốc - Láng Hạ,"Yêu thích
QUÁN ĂN -Chi nhánh","14 - 16 Ngõ 81 Láng Hạ, P. Thành Công, Ba Đình, Hà Nội",Giảm món,4.5,999+,Đóng cửa,,19.000 - 299.000,https://shopeefood.vn/ha-noi/mokchang-do-an-han-quoc-lang-ha
Tiệm Gà Rán Số 19 - Hào Nam,"Yêu thích
SHOP ONLINE","1 Ngõ 32A Phố Hào Nam, P. Ô Chợ Dừa, Đống Đa, Hà Nội",Giảm món,4.5,999+,Đóng cửa,,50.000 - 200.000,https://shopeefood.vn/ha-noi/tiem-ga-ran-so-19-hao-nam
Trà Sữa Seko Tea - Mễ Trì Thượng,"Yêu thích
CAFÉ/DESSERT -Chi nhánh","37 Mễ Trì Thượng, P. Mễ Trì, Nam Từ Liêm, Hà Nội",Giảm hết 50%,4.5,999+,Mở cửa,00:00 - 01:00 | 09:00 - 23:59,20.000 - 40.000,https://shopeefood.vn/ha-noi/seko-tea-tra-sua-dai-loan
Bonchon Chicken - Lạc Long Quân,QUÁN ĂN -Chi nhánh,"292E Lạc Long Quân, P.Xuân La, Tây Hồ, Hà Nội",Giảm món,4.5,50+,Đóng cửa,,0 - 0,https://shopeefood.vn/ha-noi/bonchon-chicken-lac-long-quan
Royal Tea - Trà Sữa Trân Châu - Hồ Tùng Mậu,CAFÉ/DESSERT -Chi nhánh,"Số 3 Ngách 16 Ngõ 75 Hồ Tùng Mậu, P. Mai Dịch, Cầu Giấy, Hà Nội",Giảm hết 40%,4.5,999+,Mở cửa,09:00 - 22:50,20.000 - 40.000,https://shopeefood.vn/ha-noi/royal-tea-tra-sua-tran-chau-ho-tung-mau
